course_id,course_number,semester_key,semester_name,course_title_en,course_title_de,course_type,course_type_short,first_lecturer,all_lecturers,lecturer_count,registration_available,registration_status,course_norm_key,e_learning_active,semester_week_hours,title_for_app
538918,51.00016,25W,Winter semester 2025/26,Sensortechnik in der Rohstoffwirtschaft,Sensortechnik in der Rohstoffwirtschaft,Field Trip,FT,Zhihong Dou,Zhihong Dou; Lieve Josephina Leonie Göbbels; Devrim Guersel; Fabian Günther Nikolaus Roth,4,False,INFO,LVEAB,False,0.5,Sensortechnik in der Rohstoffwirtschaft
574023,51.00048,25W,Winter semester 2025/26,Betriebsmittel für die Gewinnung mineralischer Rohstoffe 1 (BTM 1),Betriebsmittel für die Gewinnung mineralischer Rohstoffe 1 (BTM 1),Lecture/Exercise,LE,Annika Ursula Busch,Annika Ursula Busch; Elisabeth Walburga Clausen; Violetta Storoschewich,3,True,RUNNING,LVEAB,False,4.0,Betriebsmittel für die Gewinnung mineralischer Rohstoffe 1 (BTM 1)
539942,93.00047,25W,Winter semester 2025/26,"	 Advanced seminar II - Operative Dentistry, Periodontology and Preventive Dentistry",ZM Integrierter Behandlungskurs IV,Seminar,SE,Andreas Braun,Andreas Braun; Patrick Jansen; Marko Stamenkovic; Ines-Carina Tönneßen,4,False,INFO,LVEAB,False,1.0,"	 Advanced seminar II - Operative Dentistry, Periodontology and Preventive Dentistry"
539232,93.00049,25W,Winter semester 2025/26,	 Impact of systemic diseases on periodontal remodelling	,Impact of systemic diseases on periodontal remodelling,Intensive Course,IC,Rogerio Bastos Craveiro,Rogerio Bastos Craveiro; Anna Elli Susanne Bock; Joachim Jankowski; Jaana-Sophia Kern; Isabel Knaup; Christoph Kuppe; Norbert Lang; Sareh Michael; Christian Niederau; Heidi Noels; Michael Wolf,11,False,INFO,LVEAB,False,1.0,	 Impact of systemic diseases on periodontal remodelling	
573949,21.00004,25W,Winter semester 2025/26, (A - Phenomenology of Exterior Spaces. Urban Cultural Landscapes in Rome  - 6CP - one Semester),Kurs_FF_RG (A - Phänomenologie der Außenräume. Städtische Kulturlandschaften Roms - 6CP - einsemestrig),Seminar,SE,Nicola Carofiglio,Nicola Carofiglio; Uwe Gert Willi Schröder,2,True,NONE,LVEAB,False,2.0, (A - Phenomenology of Exterior Spaces. Urban Cultural Landscapes in Rome  - 6CP - one Semester)
538450,41.19020,25W,Winter semester 2025/26,	Advanced Robotic Kinematics and Dynamics,Advanced Robotic Kinematics and Dynamics,Lecture,L,Burkhard Corves,Burkhard Corves,1,True,RUNNING,LVEAB,False,2.0,	Advanced Robotic Kinematics and Dynamics
556017,92.00015,25W,Winter semester 2025/26,	Bioinformatics,Bioinformatics (Bioinformatics),Lecture/Exercise,LE,Kjong-Van Stephan Fritz Lehmann,Kjong-Van Stephan Fritz Lehmann; Rainer Röhrig,2,True,NONE,LVEAB,False,3.0,	Bioinformatics
555932,92.00012,25W,Winter semester 2025/26,	Data Integration and Interoperability,Data Integration and Interoperability (Data Integration and Interoperability (DII),Lecture/Exercise,LE,Rainer Röhrig,Rainer Röhrig,1,True,NONE,LVEAB,False,3.0,	Data Integration and Interoperability
540318,52.00090,25W,Winter semester 2025/26,	Exercises Introduction to ceramics,Exercises Introduction to ceramics,Exercise,E,Jonas Nießen,Jonas Nießen; Thorsten Erik Tonnesen,2,True,NONE,LVEAB,False,1.0,	Exercises Introduction to ceramics
538624,61.00002,25W,Winter semester 2025/26,	Fundamentals of Electrical Engineering 1 - Introduction to Circuit Analysis - Revision Course,Grundgebiete der Elektrotechnik 1 - Einführung in die Schaltungsanalyse - Repetitorium,Revision Course,RC,Dirk Uwe Sauer,Dirk Uwe Sauer,1,False,INFO,LVEAB,False,0.0,	Fundamentals of Electrical Engineering 1 - Introduction to Circuit Analysis - Revision Course
538963,20.00249,25W,Winter semester 2025/26,	Kurs_Projekt_Freier_Entwurf_GBL (Worldmix),Kurs_Projekt_Freier_Entwurf_GBL (Worldmix),Project,PT,Anne-Julchen Bernhardt,Anne-Julchen Bernhardt; Tim Prins; Anna Marijke Weber,3,True,NONE,LVEAB,False,3.0,	Kurs_Projekt_Freier_Entwurf_GBL (Worldmix)
538567,52.00009,25W,Winter semester 2025/26,	Metallische Werkstoffe für die additive Fertigung - Übung,Metallische Werkstoffe für die additive Fertigung - Übung,Exercise,E,Iris Raffeis,Iris Raffeis,1,True,NONE,LVEAB,False,1.0,	Metallische Werkstoffe für die additive Fertigung - Übung
538969,21.00114,25W,Winter semester 2025/26,	Palais Partagé,Kurs_Projekt_Freier_Entwurf_GBL (Palais Partagé  - Gastdozentin Juliane Greb),Project,PT,Juliane Leonie Greb,Juliane Leonie Greb; Ilaria Maria Zedda; Anne-Julchen Bernhardt,3,True,NONE,LVEAB,False,3.0,	Palais Partagé
539627,81.00850,25W,Winter semester 2025/26,	Project Module: Sustainable Success: Empowering Female Entrepreneurship in GreenTech,Project Module: Sustainable Success: Empowering Female Entrepreneurship in GreenTech,Project,PT,Andrea Greven,Andrea Greven; Annika Laura Helene Oehler; Natalia Anahita Ahmadian Baghbadorani,3,True,NONE,LVEAB,False,4.0,	Project Module: Sustainable Success: Empowering Female Entrepreneurship in GreenTech
538728,13.00032,25W,Winter semester 2025/26,	Theory of Deep Learning,Theory of Deep Learning,Lecture/Exercise,LE,Michael Krämer,Michael Krämer,1,True,NONE,LVEAB,False,6.0,	Theory of Deep Learning
540424,52.00018,25W,Winter semester 2025/26,	Transportphänomene I Klausurübung,Transportphänomene I Klausurübung,Revision Course,RC,Lilly Amanda Schulte,Lilly Amanda Schulte; Christian Friedrich Wuppermann,2,False,INFO,LVEAB,False,0.0,	Transportphänomene I Klausurübung
539743,52.00052,25W,Winter semester 2025/26,	VO Metallic Materials,VO Metallic Materials,Lecture,L,Alexander Roald Michael Gramlich,Alexander Roald Michael Gramlich; Ulrich Krupp,2,True,NONE,LVEAB,False,2.0,	VO Metallic Materials
537854,52.42540,25W,Winter semester 2025/26,Aachener Giesserei-Kolloquium,Aachener Giesserei-Kolloquium,Tutorial,P,Andreas Bührig-Polaczek,Andreas Bührig-Polaczek; Uwe Vroomen,2,False,INFO,LVEAB,False,0.0,Aachener Giesserei-Kolloquium
539575,13.00018,25W,Winter semester 2025/26,Abschlussarbeiten & Meetings,Abschlussarbeiten & Meetings,Tutorial,P,Ralf Detemple,Ralf Detemple; Christina Lüders,2,False,INFO,LVEAB,False,0.0,Abschlussarbeiten & Meetings
540448,61.00008,25W,Winter semester 2025/26,Acoustic Colloquium,Akustisches Kolloquium,Colloquium,CO,Janina Fels,Janina Fels,1,False,INFO,LVEAB,False,1.0,Acoustic Colloquium
537870,61.06341,25W,Winter semester 2025/26,Acoustic Virtual Reality,Acoustic Virtual Reality,Lecture/Exercise,LE,Lukas Aspöck,Lukas Aspöck,1,True,NONE,LVEAB,False,3.0,Acoustic Virtual Reality
574061,12.00076,25W,Winter semester 2025/26,Across Borders and Realities: Designing Immersive Learning in the Euregio,Across Borders and Realities: Designing Immersive Learning in the Euregio,Laboratory,LA,Matthias Siegfried Ehlenz,Matthias Siegfried Ehlenz; Birte Heinemann; Ulrik Schroeder,3,False,INFO,LVEAB,False,4.0,Across Borders and Realities: Designing Immersive Learning in the Euregio
537958,13.55219,25W,Winter semester 2025/26,Actual research topics on astroparticle physics with the Pierre Auger observatory,Aktuelle Forschungsthemen der Astroteilchenphysik mit dem Pierre Auger Observatorium,Advanced Seminar,AS,Hans Martin Erdmann,Hans Martin Erdmann,1,False,INFO,LVEAB,False,0.0,Actual research topics on astroparticle physics with the Pierre Auger observatory
536722,13.38954,25W,Winter semester 2025/26,Actual research topics on particle physics with the experiment CMS at CERN,Aktuelle Forschungsthemen der Teilchenphysik mit dem Experiment CMS am CERN,Advanced Seminar,AS,Hans Martin Erdmann,Hans Martin Erdmann,1,False,INFO,LVEAB,False,0.0,Actual research topics on particle physics with the experiment CMS at CERN
536183,13.03585,25W,Winter semester 2025/26,"Additional Information for Physics I (Engineers, Mathematicians, Natural Scientists, Electrical Engineering)","Ergänzungen zur Physik I (für Naturwissenschaftler, Mathematiker, Ingenieure, Elektrotechniker)",Lecture,L,Marcus Liebmann,Marcus Liebmann,1,True,NONE,LVEAB,False,2.0,"Additional Information for Physics I (Engineers, Mathematicians, Natural Scientists, Electrical Engineering)"
539519,42.00007,25W,Winter semester 2025/26,Additive Manufacturing I - Technologies and Processes,Additive Manufacturing: Technologies and Processes,Lecture,L,Johannes Henrich Schleifenbaum,Johannes Henrich Schleifenbaum,1,True,NONE,LVEAB,False,2.0,Additive Manufacturing I - Technologies and Processes
537233,41.46654,25W,Winter semester 2025/26,Additive Manufacturing in plastics processing,Additive Fertigung in der Kunststoffverarbeitung,Exercise,E,Rainer Dahlmann,Rainer Dahlmann,1,False,INFO,LVEAB,False,1.0,Additive Manufacturing in plastics processing
537694,41.46651,25W,Winter semester 2025/26,Additive Manufacturing in plastics processing,Additive Fertigung in der Kunststoffverarbeitung,Lecture,L,Rainer Dahlmann,Rainer Dahlmann,1,True,RUNNING,LVEAB,False,2.0,Additive Manufacturing in plastics processing
538334,40.56492,25W,Winter semester 2025/26,Additive Manufacturing: Technologies and Processes,Additive Fertigungsverfahren: Technologien und Prozesse,Lecture,L,Johannes Henrich Schleifenbaum,Johannes Henrich Schleifenbaum,1,True,NONE,LVEAB,False,2.0,Additive Manufacturing: Technologies and Processes
539052,42.00008,25W,Winter semester 2025/26,Additive Manufacturing: Technologies and Processes,Additive Manufacturing: Technologies and Processes,Exercise,E,Johannes Wilhelm Willkomm,Johannes Wilhelm Willkomm,1,True,NONE,LVEAB,False,2.0,Additive Manufacturing: Technologies and Processes
538400,40.56490,25W,Winter semester 2025/26,Additive Manufacturing: Technologies and Processes,Additive Fertigungsverfahren: Technologien und Prozesse,Exercise,E,Johannes Wilhelm Willkomm,Johannes Wilhelm Willkomm,1,True,NONE,LVEAB,False,2.0,Additive Manufacturing: Technologies and Processes
537445,41.03755,25W,Winter semester 2025/26,Adhesive Bonding Technology,Grundlagen und Verfahren der Klebtechnik,Lecture,L,Alexander Schiebahn,Alexander Schiebahn,1,True,NONE,LVEAB,False,2.0,Adhesive Bonding Technology
537046,41.03694,25W,Winter semester 2025/26,Adhesive Bonding Technology,Grundlagen und Verfahren der Klebtechnik,Exercise,E,Alexander Schiebahn,Alexander Schiebahn,1,True,NONE,LVEAB,False,0.0,Adhesive Bonding Technology
536931,51.32998,25W,Winter semester 2025/26,Adjustment (Master),Ausgleichungsrechnung (Master),Lecture,L,Axel Preuße,Axel Preuße; Malte Jan Michael Gurgel,2,True,NONE,LVEAB,False,2.0,Adjustment (Master)
536414,51.32999,25W,Winter semester 2025/26,Adjustment (Master),Ausgleichungsrechnung (Master),Exercise,E,Axel Preuße,Axel Preuße; Malte Jan Michael Gurgel,2,True,NONE,LVEAB,False,0.0,Adjustment (Master)
536314,79.03789,25W,Winter semester 2025/26,Advance Course A (Practical Exercise Language Competence),Advanced Course A (Übung Language Competence),Exercise,E,Jessica Lyn Di Napoli,Jessica Lyn Di Napoli; Anne-Coleman Webre,2,True,NONE,LVEAB,False,2.0,Advance Course A (Practical Exercise Language Competence)
540429,12.00086,25W,Winter semester 2025/26,Advanced Algorithms,Advanced Algorithms,Seminar,SE,Martin Karl Wilhelm Hoefer,Martin Karl Wilhelm Hoefer,1,False,INFO,LVEAB,False,2.0,Advanced Algorithms
573247,61.71010,25W,Winter semester 2025/26,Advanced Battery Diagnostics and Mobile Applications,Advanced Battery Diagnostics and Mobile Applications,Exercise,E,Florian Ringbeck,Florian Ringbeck,1,True,RUNNING,LVEAB,False,1.0,Advanced Battery Diagnostics and Mobile Applications
573246,61.71009,25W,Winter semester 2025/26,Advanced Battery Diagnostics and Mobile Applications,Advanced Battery Diagnostics and Mobile Applications,Lecture,L,Florian Ringbeck,Florian Ringbeck,1,True,RUNNING,LVEAB,False,2.0,Advanced Battery Diagnostics and Mobile Applications
573249,61.71012,25W,Winter semester 2025/26,Advanced Battery Production Technology,Advanced Battery Production Technology,Exercise,E,Heiner Hans Heimes,Heiner Hans Heimes; Achim Kampker; Alexander Olowinsky,3,True,RUNNING,LVEAB,False,1.0,Advanced Battery Production Technology
573248,61.71011,25W,Winter semester 2025/26,Advanced Battery Production Technology,Advanced Battery Production Technology,Lecture,L,Heiner Hans Heimes,Heiner Hans Heimes; Achim Kampker; Alexander Olowinsky,3,True,RUNNING,LVEAB,False,2.0,Advanced Battery Production Technology
537224,54.18706,25W,Winter semester 2025/26,Advanced Biomaterials (Hard Tissue Implants and Prostheses & 3D Bioprinting),Advanced Biomaterials (Hard Tissue Implants and Prostheses & 3D Bioprinting),Seminar,SE,Horst Fischer,Horst Fischer; Monika Ohler,2,True,NONE,LVEAB,False,2.0,Advanced Biomaterials (Hard Tissue Implants and Prostheses & 3D Bioprinting)
537489,54.51366,25W,Winter semester 2025/26,Advanced Biomaterials (Hard Tissue Implants and Prostheses & 3D Bioprinting),Advanced Biomaterials (Hard Tissue Implants and Prostheses & 3D Bioprinting),Laboratory,LA,Horst Fischer,Horst Fischer,1,True,NONE,LVEAB,False,1.0,Advanced Biomaterials (Hard Tissue Implants and Prostheses & 3D Bioprinting)
536191,15.12219,25W,Winter semester 2025/26,Advanced Chemical Technology - Industrial Inorganic and Organic Technical Chemistry (TCF),Technische Chemie für Fortgeschrittene - Industrielle Anorganische und Organische Chemie (TCF),Lecture,L,Jürgen Klankermayer,Jürgen Klankermayer; Annalena Roswitha Genreith-Schriever,2,True,RUNNING,LVEAB,False,2.0,Advanced Chemical Technology - Industrial Inorganic and Organic Technical Chemistry (TCF)
