course_name,exam_date,exam_id,norm_title,course_number,title,lecturer,ects
Ad-Hoc Networks: Architectures and Protocols,2026-03-11,1197366,ad hoc networks architectures and protocols,,,,
Advanced Coding and Modulation,2026-03-11,1197308,advanced coding and modulation,,,,
Algorithmic Foundations of Datascience,2026-03-11,1201835,algorithmic foundations of datascience,,,,
Applied computational chemistry,2026-03-11,1195169,applied computational chemistry,1519055,Applied Computational Chemistry,Franziska Schönebeck,
Applied Statistics,2026-03-11,1196119,applied statistics,3103261,Applied Statistics,Daniel Grottke,0.0
Applied Statistics,2026-03-11,1196119,applied statistics,3102535,Applied Statistics,Jörg Manfred Blankenbach,0.0
Automated and Connected Driving Challenges - Course,2026-03-11,1196348,automated and connected driving challenges course,,,,
Behavioral Biology - Oral Exam,2026-03-11,1198928,behavioral biology,,,,
Cell Biology,2026-03-11,1195360,cell biology,,,,
Chemistry for Chemical Engineers,2026-03-11,1195296,chemistry for chemical engineers,,,,
Electronics in mobile propulsion,2026-03-11,1212097,electronics in mobile propulsion,4149974,Electronics in mobile propulsion,Li Li,
Electronics in mobile propulsion,2026-03-11,1212097,electronics in mobile propulsion,4149975,Electronics in mobile propulsion,Jakob Lukas Andert,
"Electron Microscopy: Methods and Applications, Exam",2026-03-11,1194689,electron microscopy methods and applications,,,,
Exam Biblical Studies ,2026-03-11,1219019,biblical studies,,,,
Exam Biblical Studies ,2026-03-11,1211039,biblical studies,,,,
Finite Element Technology,2026-03-11,1195914,finite element technology,,,,
Hydromechanics,2026-03-11,1196076,hydromechanics,,,,
Hydromechanics I,2026-03-11,1196097,hydromechanics i,3104840,Hydromechanics I,Holger Schüttrumpf,3.0
Immunology and Microbiology,2026-03-11,1198454,immunology and microbiology,9203150,Immunology and Microbiology,Lothar Rink,
Immunology and Microbiology,2026-03-11,1198454,immunology and microbiology,9254735,Immunology and Microbiology,Lothar Rink,
Industrial  Wastewater  Treatment,2026-03-11,1196050,industrial wastewater treatment,3102166,Industrial Wastewater Treatment,Laurence Marie Palmowski,0.0
Introduction to Microbiology,2026-03-11,1217657,introduction to microbiology,,,,
Manufacturing Technology II,2026-03-11,1196508,manufacturing technology ii,,,,
Manufacturing Technology II,2026-03-11,1196507,manufacturing technology ii,,,,
Material Properties,2026-03-11,1198746,material properties,,,,
Mathematical System Theory 1,2026-03-11,1199141,mathematical system theory 1,,,,
Mobile Radio Networks 2,2026-03-11,1197364,mobile radio networks 2,,,,
Module final examination Basics of Biology: From Biomolecules to Organisms,2026-03-11,1195350,module final examination basics of biology from biomolecules to organisms,,,,
Numerical Analysis,2026-03-11,1194693,numerical analysis,,,,
Numerische Mathematik für Lehramt,2026-03-11,1218242,numerische mathematik f r lehramt,,,,
Oral Examination Cultural Studies,2026-03-11,1218663,oral examination cultural studies,,,,
"Oral state examination group colloquium ""Political dimensions of an individual midwife managed care situation"" (Competence dimensions IV; V; VI)",2026-03-11,1218156,oral state examination group colloquium political dimensions of an individual midwife managed care situation competence dimensions iv v vi,,,,
"Practical state examination part II ""Birth""",2026-03-11,1218256,practical state examination part ii birth,,,,
Reinforcement Learning and Learning-based Control,2026-03-11,1199069,reinforcement learning and learning based control,,,,
Seminar Cellular and Molecular Neuroscience,2026-03-11,1219112,seminar cellular and molecular neuroscience,,,,
Seminar Language Theory and History,2026-03-11,1219764,seminar language theory and history,,,,
Advanced Control Systems,2026-03-12,1197239,advanced control systems,6136953,Advanced Control Systems,Raphael Hoffmann,
Advanced Control Systems,2026-03-12,1197239,advanced control systems,6136955,Advanced Control Systems,Berno Johannes Engelbert Misgeld,
Applied Numerical Optimization,2026-03-12,1218258,applied numerical optimization,4124457,Applied Numerical Optimization,Alexander Mitsos,
Applied Numerical Optimization,2026-03-12,1218258,applied numerical optimization,4124458,Applied Numerical Optimization,Alexander Mitsos,
Basics Mine Surveying,2026-03-12,1196742,basics mine surveying,,,,
Basics of Geotechnical Engineering I,2026-03-12,1196069,basics of geotechnical engineering i,3100868,Basics of Geotechnical Engineering I,Raul Fuentes Gutierrez,3.0
Basics of Geotechnical Engineering II,2026-03-12,1196053,basics of geotechnical engineering ii,,,,
Disposal Concepts,2026-03-12,1196739,disposal concepts,,,,
Einführung in die Arbeitswissenschaft (120 min),2026-03-12,1196474,einf hrung in die arbeitswissenschaft 120 min,,,,
Einführung in die Arbeitswissenschaft (90 min),2026-03-12,1210153,einf hrung in die arbeitswissenschaft 90 min,,,,
English for Students in Physics,2026-03-12,1194989,english for students in physics,,,,
Exam Anthropology and Ethics,2026-03-12,1212136,anthropology and ethics,,,,
Faults and Stability in Power Systems,2026-03-12,1197330,faults and stability in power systems,,,,
Faults and Stability in Power Systems,2026-03-12,1197331,faults and stability in power systems,,,,
Flight Guidance,2026-03-12,1196389,flight guidance,,,,
Formal Methods for Logic Control Software (WS),2026-03-12,1211325,formal methods for logic control software ws,,,,
Fundamentals of Dynamics of Machines and Structural Dynamics,2026-03-12,1196254,fundamentals of dynamics of machines and structural dynamics,,,,
Fundamentals of Flight Mechanics,2026-03-12,1196392,fundamentals of flight mechanics,4117818,Fundamentals of Flight Mechanics,Sven Jackisch,
Fundamentals of Flight Mechanics,2026-03-12,1196392,fundamentals of flight mechanics,4117820,Fundamentals of Flight Mechanics,Sven Jackisch,
Geotechnical Engineering I,2026-03-12,1196070,geotechnical engineering i,3102079,Geotechnical Engineering I,Raul Fuentes Gutierrez,0.0
Geotechnical Engineering I,2026-03-12,1196070,geotechnical engineering i,3103166,Geotechnical Engineering I,Michael Thomas Willi Männer,0.0
Geotechnical Engineering II,2026-03-12,1196054,geotechnical engineering ii,,,,
Image Processing and Handling,2026-03-12,1198470,image processing and handling,9229284,Image Processing and Handling,Jonas Bienzeisler,
Image Processing and Handling,2026-03-12,1198470,image processing and handling,9000043,Image Processing and Handling,Jonas Bienzeisler,
Image Processing and Handling,2026-03-12,1198470,image processing and handling,9229285,Image Processing and Handling,Jonas Bienzeisler,
Industrial Engineering and Ergonomics (International Academy) (WS),2026-03-12,1196479,industrial engineering and ergonomics international academy ws,,,,
Introducation to Natural Language Processing,2026-03-12,1198979,introducation to natural language processing,,,,
Introduction to Medicine for Nature Scientists and Engineers,2026-03-12,1198498,introduction to medicine for nature scientists and engineers,,,,
iOS Application Development,2026-03-12,1194921,ios application development,1222433,iOS Application Development,Jan Oliver Borchers,6.0
Materials technology of metals,2026-03-12,1209418,materials technology of metals,,,,
Mechanics in Material Science II - exam,2026-03-12,1198710,mechanics in material science ii,,,,
Metal Forming,2026-03-12,1196895,metal forming,,,,
Metallurgy & Recycling (Iron and Steel Making),2026-03-12,1196822,metallurgy recycling iron and steel making,,,,
Modern Control Systems,2026-03-12,1197389,modern control systems,,,,
Numerical Methods for Fluid-Structure Interaction,2026-03-12,1217895,numerical methods for fluid structure interaction,4135008,Numerical Methods for Fluid-Structure Interaction,Norbert Michael Hosters,
Numerical Methods for Partial Differential Equations,2026-03-12,1194785,numerical methods for partial differential equations,,,,
Optical Telecommunications 1: Devices,2026-03-12,1197395,optical telecommunications 1 devices,6129569,Optical Telecommunications 1: Devices,Florian Merget,
Partial Differerential Equations (CES),2026-03-12,1194784,partial differerential equations ces,,,,
Photochemistry & Photocatalysis,2026-03-12,1195214,photochemistry photocatalysis,1520007,Photochemistry & Photocatalysis,Daniele Leonori,
Process Analysis in Manufacturing Technology,2026-03-12,1196509,process analysis in manufacturing technology,4100016,Process Analysis in Manufacturing Technology,Guido Franz Wirtz,
Process Analysis in Manufacturing Technology,2026-03-12,1196509,process analysis in manufacturing technology,4100025,Process Analysis in Manufacturing Technology,Guido Franz Wirtz,
Semantic Web,2026-03-12,1194975,semantic web,1253585,Semantic Web,Stefan Josef Decker,4.0
Software Engineering,2026-03-12,1194862,software engineering,1200000,Software Engineering,Bernhard Dieter Rumpe,
Structural Steel III,2026-03-12,1195926,structural steel iii,3105081,Structural Steel III,Markus Feldmann,0.0
Structural Steel III,2026-03-12,1195926,structural steel iii,3104658,Structural Steel III,Markus Feldmann,0.0
Thermal Separation Processes,2026-03-12,1196428,thermal separation processes,4133749,Thermal Separation Processes,Moritz Haas,
